X;Y;Z
6.0587873522251305;-6.2682609885451326;20
7.4999753358232875;-4.4441388324446365;20
6.02295362512201;-1.6504634590410143;20
8.717797887081348;0;20
10.161052730529086;2.7844222753396095;20
7.4999753358232875;4.4441388324446365;20
6.0587873522251305;6.2682609885451326;20
9.6052313497652975;-11.477784225079592;10
11.454944368057683;-9.63245812473138;10
12.955554319894977;-7.4935713958199264;10
14.061328330554518;-5.12630915770253;10
14.73856662066383;-2.6028165452551533;10
14.966629547095765;0;10
14.73856662066383;2.6028165452551533;10
12.916154818349927;4.7088156375479331;10
11.90043653199489;6.8832848515778746;10
10.522038275140961;8.84797776536925;10
8.82296837561607;10.543018023454136;10
10.880889723229039;-15.57582225216148;0
13.921850814121797;-14.359041399387923;0
15.232047411802931;-11.357144519842461;0
17.73515382784;-9.2446913795351886;0
18.9825536;-6.2978296914990528;0
19.744;-3.1897435633605409;0
20;0;0
18.7568;3.0302563851925139;0
17.08429824;5.668046722349148;0
15.074880753664;7.85798767260491;0
12.826987294149836;9.5639111746041774;0
11.137480651297437;11.487233119510339;0
9.1628545037718219;13.116481896557035;0
13.292677448874434;-15.884102940996861;-10
15.852494868133727;-13.330356576468384;-10
16.962802383151672;-9.8113880419716288;-10
18.410600413255175;-6.7119142145477593;-10
18.184795822141378;-3.2114172738885061;-10
16.15549442140351;0;-10
14.73856662066383;2.6028165452551533;-10
12.916154818349927;4.7088156375479331;-10
9.67803073307767;5.5978318239836513;-10
7.4990213783046311;6.3059240692962755;-10
6.2880999611231889;7.51397357454247;-10
6.3696938196644037;-6.5899165885259183;-20
5.508647306921735;-3.264169855865946;-20
6.02295362512201;-1.6504634590410143;-20
10.535653752852738;0;-20
12.758400766689247;3.4961707447639352;-20
13.075521796354828;7.747950035528743;-20
10.562942214636271;10.928140361939674;-20
